mui,mm1,mm2,met1,met2,nmi_m1_m2
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,IM,1,2,0.9632136607907223
10,FG,LP,1,3,0.9391728218533978
10,FG,LP,1,3,0.947791993385023
10,FG,LP,1,3,0.9436523396928129
10,FG,LP,1,3,0.9432692489364846
10,FG,LP,1,3,0.9439055406442085
10,FG,LP,1,3,0.9515285316469122
10,FG,LP,1,3,0.9445743582867605
10,FG,LP,1,3,0.9417325415035778
10,FG,LP,1,3,0.9469868212813265
10,FG,LP,1,3,0.947791993385023
10,FG,LP,1,3,0.9436523396928129
10,FG,LP,1,3,0.9432692489364846
10,FG,LP,1,3,0.9439055406442085
10,FG,LP,1,3,0.9515285316469122
10,FG,LP,1,3,0.9445743582867605
10,FG,LP,1,3,0.9417325415035778
10,FG,LP,1,3,0.9469868212813265
10,FG,LP,1,3,0.9436523396928129
10,FG,LP,1,3,0.9432692489364846
10,FG,LP,1,3,0.9439055406442085
10,FG,LP,1,3,0.9515285316469122
10,FG,LP,1,3,0.9445743582867605
10,FG,LP,1,3,0.9417325415035778
10,FG,LP,1,3,0.9469868212813265
10,FG,LP,1,3,0.9432692489364846
10,FG,LP,1,3,0.9439055406442085
10,FG,LP,1,3,0.9515285316469122
10,FG,LP,1,3,0.9445743582867605
10,FG,LP,1,3,0.9417325415035778
10,FG,LP,1,3,0.9469868212813265
10,FG,LP,1,3,0.9439055406442085
10,FG,LP,1,3,0.9515285316469122
10,FG,LP,1,3,0.9445743582867605
10,FG,LP,1,3,0.9417325415035778
10,FG,LP,1,3,0.9469868212813265
10,FG,LP,1,3,0.9515285316469122
10,FG,LP,1,3,0.9445743582867605
10,FG,LP,1,3,0.9417325415035778
10,FG,LP,1,3,0.9469868212813265
10,FG,LP,1,3,0.9445743582867605
10,FG,LP,1,3,0.9417325415035778
10,FG,LP,1,3,0.9469868212813265
10,FG,LP,1,3,0.9417325415035778
10,FG,LP,1,3,0.9469868212813265
10,FG,LP,1,3,0.9469868212813265
10,FG,ML,1,4,0.963159542299899
10,FG,ML,1,4,0.9711813391178249
10,FG,ML,1,4,0.9657510717681058
10,FG,ML,1,4,0.9591669490248231
10,FG,ML,1,4,0.9709297634112538
10,FG,ML,1,4,0.9709297634112538
10,FG,ML,1,4,0.9549889813200388
10,FG,ML,1,4,0.967645825336651
10,FG,ML,1,4,0.9672631652076074
10,FG,ML,1,4,0.9711813391178249
10,FG,ML,1,4,0.9657510717681058
10,FG,ML,1,4,0.9591669490248231
10,FG,ML,1,4,0.9709297634112538
10,FG,ML,1,4,0.9709297634112538
10,FG,ML,1,4,0.9549889813200388
10,FG,ML,1,4,0.967645825336651
10,FG,ML,1,4,0.9672631652076074
10,FG,ML,1,4,0.9657510717681058
10,FG,ML,1,4,0.9591669490248231
10,FG,ML,1,4,0.9709297634112538
10,FG,ML,1,4,0.9709297634112538
10,FG,ML,1,4,0.9549889813200388
10,FG,ML,1,4,0.967645825336651
10,FG,ML,1,4,0.9672631652076074
10,FG,ML,1,4,0.9591669490248231
10,FG,ML,1,4,0.9709297634112538
10,FG,ML,1,4,0.9709297634112538
10,FG,ML,1,4,0.9549889813200388
10,FG,ML,1,4,0.967645825336651
10,FG,ML,1,4,0.9672631652076074
10,FG,ML,1,4,0.9709297634112538
10,FG,ML,1,4,0.9709297634112538
10,FG,ML,1,4,0.9549889813200388
10,FG,ML,1,4,0.967645825336651
10,FG,ML,1,4,0.9672631652076074
10,FG,ML,1,4,0.9709297634112538
10,FG,ML,1,4,0.9549889813200388
10,FG,ML,1,4,0.967645825336651
10,FG,ML,1,4,0.9672631652076074
10,FG,ML,1,4,0.9549889813200388
10,FG,ML,1,4,0.967645825336651
10,FG,ML,1,4,0.9672631652076074
10,FG,ML,1,4,0.967645825336651
10,FG,ML,1,4,0.9672631652076074
10,FG,ML,1,4,0.9672631652076074
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
10,FG,WT,1,5,0.9546030060343149
