X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1,1,1,1,8,1,8,1,1,1,1,1,8,1,1,1,1,8,1,1
8,8,8,8,9,8,9,8,8,8,8,8,9,8,8,8,8,9,8,8
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
9,9,9,9,10,9,10,9,9,9,9,9,10,9,9,9,9,10,9,9
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10,10,10,10,11,10,11,10,10,10,10,10,11,10,10,10,10,11,10,10
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,11,6,11,12,11,12,11,11,11,11,11,12,11,11,11,11,12,11,11
4,4,8,4,13,4,13,12,12,12,12,12,13,12,4,4,4,12,12,12
12,12,11,12,14,12,14,13,13,13,13,13,14,13,12,12,12,13,13,13
13,13,12,13,15,13,15,14,14,14,14,14,15,14,13,13,13,14,14,14
14,14,13,14,16,14,16,15,15,15,15,15,16,15,14,14,14,15,15,15
1,1,1,1,8,1,8,1,1,1,1,1,8,1,1,1,1,8,1,1
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
15,15,2,2,2,15,17,16,16,16,16,16,17,2,2,2,15,16,2,2
1,1,1,1,8,1,8,1,1,1,1,1,8,1,1,1,1,8,1,1
6,6,14,6,17,16,6,17,6,6,17,6,6,6,6,6,6,17,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
16,5,5,5,5,17,18,18,17,17,18,5,18,5,15,15,16,5,12,12
17,16,15,15,18,18,19,19,18,18,19,2,19,16,16,16,17,18,16,16
18,17,16,16,9,19,20,8,19,8,2,17,9,17,17,17,18,19,17,17
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
19,18,17,17,19,20,1,20,20,19,20,18,1,18,18,18,19,1,18,18
19,18,17,17,19,20,1,20,20,19,20,18,1,18,18,18,19,1,18,18
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20,19,18,18,20,21,21,21,21,20,21,19,20,19,19,19,20,20,19,19
21,20,19,19,21,22,22,22,22,21,22,20,21,20,20,20,21,21,20,20
12,12,11,12,14,12,14,13,13,13,13,13,14,13,12,12,12,13,13,13
17,14,13,14,8,14,16,15,6,16,20,15,16,15,14,14,5,15,15,15
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
14,14,13,14,16,14,16,15,15,15,15,15,16,15,14,14,14,15,15,15
22,21,20,20,22,23,23,23,23,22,23,21,22,11,21,21,22,22,21,21
12,12,11,12,14,12,14,13,13,13,13,13,14,13,12,12,12,13,13,13
19,18,17,17,19,20,1,20,20,19,20,18,1,18,18,18,19,1,18,18
11,11,6,11,22,11,12,11,11,11,11,22,12,11,21,11,11,14,11,14
8,22,8,5,13,6,18,18,17,17,18,22,18,11,15,15,16,9,12,12
11,11,6,11,12,11,12,11,11,11,11,11,12,11,11,11,11,12,11,11
13,13,12,13,15,13,15,14,14,14,14,14,15,14,13,13,13,14,14,14
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
23,23,21,21,23,24,24,24,13,23,24,23,23,21,22,22,23,23,22,22
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10,10,10,10,11,10,11,10,10,10,10,10,11,10,10,10,10,11,10,10
2,2,2,2,2,2,2,2,18,18,2,2,2,2,2,2,15,2,2,2
10,10,10,10,11,10,11,10,10,10,10,10,11,10,10,10,10,11,10,10
14,24,22,22,24,25,25,25,24,24,25,24,24,22,23,23,24,24,23,23
2,25,23,23,1,16,26,26,25,25,26,25,25,23,24,24,25,25,24,24
20,19,18,18,20,21,21,21,21,20,21,19,20,19,19,19,20,20,19,19
2,25,23,23,1,16,26,26,25,25,26,25,25,23,24,24,25,25,24,24
8,26,24,24,25,26,27,17,26,6,3,22,26,24,25,25,26,26,25,25
14,24,22,22,24,25,25,25,24,24,25,24,24,22,23,23,24,24,23,23
8,26,24,24,25,26,27,17,26,6,3,22,26,24,25,25,26,26,25,25
15,15,2,2,2,15,17,16,16,16,16,16,17,2,2,2,15,16,2,2
22,21,20,20,22,23,23,23,23,22,23,21,22,11,21,21,22,22,21,21
22,21,20,20,22,23,23,23,23,22,23,21,22,11,21,21,22,22,21,21
2,2,2,2,2,2,2,2,18,18,2,2,2,2,2,2,15,2,2,2
14,14,13,14,16,14,16,15,15,15,15,15,16,15,14,14,14,15,15,15
14,14,13,14,16,14,16,15,15,15,15,15,16,15,14,14,14,15,15,15
20,19,18,18,20,21,21,21,21,20,21,19,20,19,19,19,20,20,19,19
24,27,25,25,26,27,28,27,27,26,27,26,27,25,26,26,27,27,26,26
8,11,6,11,22,11,12,11,11,11,11,22,12,11,21,11,11,6,11,21
18,17,16,16,9,19,20,8,19,8,2,17,9,17,17,17,18,19,17,17
20,19,18,18,20,21,21,21,21,20,21,19,20,19,19,19,20,20,19,19
11,11,6,11,12,11,12,11,11,11,11,11,12,11,11,11,11,12,11,11
12,12,11,12,14,12,14,13,13,13,13,13,14,13,12,12,12,13,13,13
10,10,10,10,11,10,11,10,10,10,10,10,11,10,10,10,10,11,10,10
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
21,20,19,19,21,22,22,22,22,21,22,20,21,20,20,20,21,21,20,20
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
21,20,19,19,21,22,22,22,22,21,22,20,21,20,20,20,21,21,20,20
10,10,10,10,11,10,11,10,10,10,10,10,11,10,10,10,10,11,10,10
20,19,18,18,20,21,21,21,21,20,21,19,20,19,19,19,20,20,19,19
4,4,8,4,13,4,13,12,12,12,12,12,13,12,4,4,4,12,12,12
24,27,25,25,26,27,28,27,27,26,27,26,27,25,26,26,27,27,26,26
22,21,20,20,22,23,23,23,23,22,23,21,22,11,21,21,22,22,21,21
12,12,11,12,14,12,14,13,13,13,13,13,14,13,12,12,12,13,13,13
25,8,26,8,27,8,9,28,8,27,8,8,28,8,8,8,8,28,8,8
17,16,15,15,18,18,19,19,18,18,19,2,19,16,16,16,17,18,16,16
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
17,16,15,15,18,18,19,19,18,18,19,2,19,16,16,16,17,18,16,16
20,19,18,18,20,21,21,21,21,20,21,19,20,19,19,19,20,20,19,19
23,23,21,6,23,24,24,24,13,23,24,23,23,21,22,22,23,23,22,22
16,5,5,5,5,17,18,18,17,17,18,5,18,5,15,15,16,5,12,12
24,27,25,25,26,27,28,27,27,26,27,26,27,25,26,26,27,27,26,26
20,19,18,18,20,21,21,21,21,20,21,19,20,19,19,19,20,20,19,19
14,24,22,22,24,25,25,25,24,24,25,24,24,22,23,23,24,24,23,23
26,28,14,26,17,28,29,29,2,2,17,27,29,26,27,27,2,17,27,27
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
13,13,12,13,15,13,15,14,14,14,14,14,15,14,13,13,13,14,14,14
22,21,20,20,22,23,23,23,23,22,23,21,22,11,21,21,22,22,21,21
24,27,25,25,26,27,28,27,27,26,27,26,27,25,26,26,27,27,26,26
22,21,20,20,22,23,23,23,23,22,23,21,22,11,21,21,22,22,21,21
14,14,13,14,16,14,16,15,15,15,15,15,16,15,14,14,14,15,15,15
24,27,25,25,26,27,28,27,27,26,27,26,27,25,26,26,27,27,26,26
24,27,25,25,26,27,28,27,27,26,27,26,27,25,26,26,27,27,26,26
13,13,12,13,15,13,15,14,14,14,14,14,15,14,13,13,13,14,14,14
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2,25,23,23,1,16,26,26,25,25,26,25,25,23,24,24,25,25,24,24
1,26,24,24,25,1,27,17,26,6,3,22,26,24,1,1,1,26,25,25
24,27,25,25,26,27,28,27,27,26,27,26,27,25,26,26,27,27,26,26
19,18,17,17,19,20,1,20,20,19,20,18,1,18,18,18,19,1,18,18
9,9,9,9,10,9,10,9,9,9,9,9,10,9,9,9,9,10,9,9
9,9,9,9,10,9,10,9,9,9,9,9,10,9,9,9,9,10,9,9
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
18,17,16,16,9,19,20,8,19,8,2,17,9,17,17,17,18,19,17,17
2,25,23,23,1,16,26,26,25,25,26,25,25,23,24,24,25,25,24,24
6,6,14,6,17,16,6,17,6,6,17,6,6,6,6,6,6,17,6,6
9,9,9,9,10,9,10,9,9,9,9,9,10,9,9,9,9,10,9,9
10,10,10,10,11,10,11,10,10,10,10,10,11,10,10,10,10,11,10,10
14,24,22,22,24,25,25,25,24,24,25,24,24,22,23,23,24,24,23,23
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1,1,1,1,8,1,8,1,1,1,1,1,8,1,1,1,1,8,1,1
17,16,15,15,18,18,19,19,18,18,19,2,19,16,16,16,17,18,16,16
6,6,14,6,17,16,6,17,6,6,17,6,6,6,6,6,6,17,6,6
13,13,12,13,15,13,15,14,14,14,14,14,15,14,13,13,13,14,14,14
24,27,25,25,26,27,28,27,27,26,27,26,27,25,26,26,27,27,26,26
26,28,14,26,17,28,29,29,2,2,17,27,29,26,27,27,2,17,27,27
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,8,8,8,9,8,9,8,8,8,8,8,9,8,8,8,8,9,8,8
25,8,26,8,27,8,9,28,8,27,8,8,28,8,8,8,8,28,8,8
17,16,15,15,18,18,19,19,18,18,19,2,19,16,16,16,17,18,16,16
6,6,14,6,17,16,6,17,6,6,17,6,6,6,6,6,6,17,6,6
25,8,26,8,27,8,9,28,8,27,8,8,28,8,8,8,8,28,8,8
