mui,method,mod,nc,nmi
30,FG,0.0141,34,0.19
30,IM,0.0158,37,0.208
30,LP,0.0148,43,0.218
30,ML,0.0166,34,0.19
30,WT,0.0161,40,0.21
30,FG,0.0141,34,0.19
30,IM,0.0158,37,0.208
30,LP,0.0162,38,0.21
30,ML,0.0152,34,0.19
30,WT,0.0161,40,0.21
30,FG,0.0141,34,0.19
30,IM,0.0158,37,0.208
30,LP,0.0149,38,0.206
30,ML,0.0152,33,0.186
30,WT,0.0161,40,0.21
30,FG,0.0141,34,0.19
30,IM,0.0158,37,0.208
30,LP,0.0154,41,0.215
30,ML,0.015,34,0.191
30,WT,0.0161,40,0.21
30,FG,0.0141,34,0.19
30,IM,0.0158,37,0.208
30,LP,0.0152,41,0.214
30,ML,0.015,34,0.19
30,WT,0.0161,40,0.21
30,FG,0.0141,34,0.19
30,IM,0.0158,37,0.208
30,LP,0.0156,39,0.21
30,ML,0.0144,33,0.184
30,WT,0.0161,40,0.21
30,FG,0.0141,34,0.19
30,IM,0.0158,37,0.208
30,LP,0.0159,42,0.217
30,ML,0.0149,34,0.19
30,WT,0.0161,40,0.21
30,FG,0.0141,34,0.19
30,IM,0.0158,37,0.208
30,LP,0.016,41,0.214
30,ML,0.015,34,0.19
30,WT,0.0161,40,0.21
30,FG,0.0141,34,0.19
30,IM,0.0158,37,0.208
30,LP,0.016,40,0.214
30,ML,0.0152,34,0.188
30,WT,0.0161,40,0.21
30,FG,0.0141,34,0.19
30,IM,0.0158,37,0.208
30,LP,0.0156,38,0.209
30,ML,0.0144,32,0.178
30,WT,0.0161,40,0.21
30,FG,0.0135,27,0.147
30,IM,0.0153,39,0.205
30,LP,0.015,41,0.208
30,ML,0.0157,32,0.179
30,WT,0.0152,42,0.205
30,FG,0.0135,27,0.147
30,IM,0.0153,39,0.205
30,LP,0.015,39,0.207
30,ML,0.0158,31,0.174
30,WT,0.0152,42,0.205
30,FG,0.0135,27,0.147
30,IM,0.0153,39,0.205
30,LP,0.0152,41,0.207
30,ML,0.0159,33,0.181
30,WT,0.0152,42,0.205
30,FG,0.0135,27,0.147
30,IM,0.0153,39,0.205
30,LP,0.0143,41,0.208
30,ML,0.0153,31,0.173
30,WT,0.0152,42,0.205
30,FG,0.0135,27,0.147
30,IM,0.0153,39,0.205
30,LP,0.0148,41,0.208
30,ML,0.0153,30,0.17
30,WT,0.0152,42,0.205
30,FG,0.0135,27,0.147
30,IM,0.0153,39,0.205
30,LP,0.0152,40,0.207
30,ML,0.0166,30,0.166
30,WT,0.0152,42,0.205
30,FG,0.0135,27,0.147
30,IM,0.0153,39,0.205
30,LP,0.0148,40,0.206
30,ML,0.0155,31,0.175
30,WT,0.0152,42,0.205
30,FG,0.0135,27,0.147
30,IM,0.0153,39,0.205
30,LP,0.0148,38,0.204
30,ML,0.0154,31,0.172
30,WT,0.0152,42,0.205
30,FG,0.0135,27,0.147
30,IM,0.0153,39,0.205
30,LP,0.0146,40,0.208
30,ML,0.0143,30,0.168
30,WT,0.0152,42,0.205
30,FG,0.0135,27,0.147
30,IM,0.0153,39,0.205
30,LP,0.0146,39,0.199
30,ML,0.0151,31,0.174
30,WT,0.0152,42,0.205
30,FG,0.0149,25,0.136
30,IM,0.0134,45,0.215
30,LP,0.014,39,0.203
30,ML,0.0146,30,0.163
30,WT,0.0122,40,0.206
30,FG,0.0149,25,0.136
30,IM,0.0134,45,0.215
30,LP,0.0158,40,0.208
30,ML,0.0131,30,0.163
30,WT,0.0122,40,0.206
30,FG,0.0149,25,0.136
30,IM,0.0134,45,0.215
30,LP,0.0134,38,0.203
30,ML,0.0151,29,0.161
30,WT,0.0122,40,0.206
30,FG,0.0149,25,0.136
30,IM,0.0134,45,0.215
30,LP,0.0127,40,0.206
30,ML,0.0137,31,0.171
30,WT,0.0122,40,0.206
30,FG,0.0149,25,0.136
30,IM,0.0134,45,0.215
30,LP,0.014,38,0.203
30,ML,0.0145,30,0.167
30,WT,0.0122,40,0.206
30,FG,0.0149,25,0.136
30,IM,0.0134,45,0.215
30,LP,0.0144,46,0.216
30,ML,0.0133,27,0.149
30,WT,0.0122,40,0.206
30,FG,0.0149,25,0.136
30,IM,0.0134,45,0.215
30,LP,0.0136,39,0.207
30,ML,0.0119,29,0.159
30,WT,0.0122,40,0.206
30,FG,0.0149,25,0.136
30,IM,0.0134,45,0.215
30,LP,0.0125,40,0.208
30,ML,0.0128,30,0.163
30,WT,0.0122,40,0.206
30,FG,0.0149,25,0.136
30,IM,0.0134,45,0.215
30,LP,0.0134,43,0.213
30,ML,0.0139,30,0.162
30,WT,0.0122,40,0.206
30,FG,0.0149,25,0.136
30,IM,0.0134,45,0.215
30,LP,0.0113,42,0.211
30,ML,0.0134,29,0.158
30,WT,0.0122,40,0.206
30,FG,0.0032,20,0.108
30,IM,0.0083,44,0.21
30,LP,0.0109,36,0.185
30,ML,0.0085,26,0.14
30,WT,0.0089,44,0.207
30,FG,0.0032,20,0.108
30,IM,0.0083,44,0.21
30,LP,0.0083,42,0.208
30,ML,0.0085,27,0.141
30,WT,0.0089,44,0.207
30,FG,0.0032,20,0.108
30,IM,0.0082,45,0.213
30,LP,0.008,43,0.204
30,ML,0.0065,25,0.135
30,WT,0.0089,44,0.207
30,FG,0.0032,20,0.108
30,IM,0.0083,44,0.21
30,LP,0.0079,39,0.195
30,ML,0.0054,27,0.14
30,WT,0.0089,44,0.207
30,FG,0.0032,20,0.108
30,IM,0.0083,44,0.21
30,LP,0.0111,39,0.197
30,ML,0.0086,27,0.146
30,WT,0.0089,44,0.207
30,FG,0.0032,20,0.108
30,IM,0.0082,45,0.212
30,LP,0.0101,42,0.201
30,ML,0.0062,25,0.136
30,WT,0.0089,44,0.207
30,FG,0.0032,20,0.108
30,IM,0.0083,44,0.21
30,LP,0.0084,37,0.188
30,ML,0.0091,27,0.146
30,WT,0.0089,44,0.207
30,FG,0.0032,20,0.108
30,IM,0.0083,44,0.21
30,LP,0.0092,42,0.204
30,ML,0.009,27,0.139
30,WT,0.0089,44,0.207
30,FG,0.0032,20,0.108
30,IM,0.0083,44,0.21
30,LP,0.0089,40,0.197
30,ML,0.0052,24,0.128
30,WT,0.0089,44,0.207
30,FG,0.0032,20,0.108
30,IM,0.0083,44,0.21
30,LP,0.0088,41,0.198
30,ML,0.0079,26,0.139
30,WT,0.0089,44,0.207
30,FG,0.0126,13,0.072
30,IM,0.0117,59,0.239
30,LP,0.0128,33,0.174
30,ML,0.0143,26,0.152
30,WT,0.0112,46,0.199
30,FG,0.0126,13,0.072
30,IM,0.0109,57,0.237
30,LP,0.007,33,0.164
30,ML,0.0112,24,0.136
30,WT,0.0112,46,0.199
30,FG,0.0126,13,0.072
30,IM,0.012,58,0.238
30,LP,0.0094,33,0.171
30,ML,0.0149,24,0.138
30,WT,0.0112,46,0.199
30,FG,0.0126,13,0.072
30,IM,0.0118,57,0.238
30,LP,0.0111,39,0.202
30,ML,0.0111,25,0.148
30,WT,0.0112,46,0.199
30,FG,0.0126,13,0.072
30,IM,0.0117,59,0.237
30,LP,0.0124,38,0.193
30,ML,0.0102,23,0.131
30,WT,0.0112,46,0.199
30,FG,0.0126,13,0.072
30,IM,0.0119,59,0.238
30,LP,0.0136,45,0.216
30,ML,0.0083,26,0.151
30,WT,0.0112,46,0.199
30,FG,0.0126,13,0.072
30,IM,0.0117,59,0.238
30,LP,0.0096,36,0.19
30,ML,0.0148,24,0.139
30,WT,0.0112,46,0.199
30,FG,0.0126,13,0.072
30,IM,0.0118,60,0.238
30,LP,0.0121,41,0.2
30,ML,0.0133,24,0.139
30,WT,0.0112,46,0.199
30,FG,0.0126,13,0.072
30,IM,0.0121,60,0.24
30,LP,0.0105,38,0.19
30,ML,0.011,26,0.154
30,WT,0.0112,46,0.199
30,FG,0.0126,13,0.072
30,IM,0.0116,58,0.238
30,LP,0.0108,39,0.2
30,ML,0.014,24,0.144
30,WT,0.0112,46,0.199
30,FG,0.0084,15,0.074
30,IM,0.0088,61,0.244
30,LP,0.0132,38,0.188
30,ML,0.0053,22,0.122
30,WT,0.0116,61,0.224
30,FG,0.0084,15,0.074
30,IM,0.009,56,0.236
30,LP,0.0127,40,0.199
30,ML,0.0118,23,0.127
30,WT,0.0116,61,0.224
30,FG,0.0084,15,0.074
30,IM,0.0093,56,0.237
30,LP,0.0082,31,0.161
30,ML,0.0046,23,0.126
30,WT,0.0116,61,0.224
30,FG,0.0084,15,0.074
30,IM,0.0093,60,0.244
30,LP,0.0109,34,0.181
30,ML,0.0097,22,0.117
30,WT,0.0116,61,0.224
30,FG,0.0084,15,0.074
30,IM,0.0093,59,0.244
30,LP,0.0087,40,0.199
30,ML,0.0074,23,0.125
30,WT,0.0116,61,0.224
30,FG,0.0084,15,0.074
30,IM,0.0088,59,0.241
30,LP,0.0075,30,0.153
30,ML,0.0073,24,0.13
30,WT,0.0116,61,0.224
30,FG,0.0084,15,0.074
30,IM,0.0091,60,0.242
30,LP,0.011,40,0.197
30,ML,0.006,23,0.122
30,WT,0.0116,61,0.224
30,FG,0.0084,15,0.074
30,IM,0.0096,59,0.24
30,LP,0.0102,37,0.186
30,ML,0.007,25,0.136
30,WT,0.0116,61,0.224
30,FG,0.0084,15,0.074
30,IM,0.0093,61,0.246
30,LP,0.0086,34,0.183
30,ML,0.0085,24,0.133
30,WT,0.0116,61,0.224
30,FG,0.0084,15,0.074
30,IM,0.0088,60,0.245
30,LP,0.0094,37,0.185
30,ML,0.01,24,0.131
30,WT,0.0116,61,0.224
30,FG,0.0472,10,0.085
30,IM,0.0488,72,0.36
30,LP,0,1,0
30,ML,0.0502,21,0.2
30,WT,0.0512,73,0.318
30,FG,0.0472,10,0.085
30,IM,0.048,73,0.355
30,LP,0.0549,28,0.241
30,ML,0.0577,22,0.21
30,WT,0.0512,73,0.318
30,FG,0.0472,10,0.085
30,IM,0.0488,74,0.358
30,LP,0,1,0
30,ML,0.0483,20,0.195
30,WT,0.0512,73,0.318
30,FG,0.0472,10,0.085
30,IM,0.0467,73,0.362
30,LP,0.0542,27,0.216
30,ML,0.0498,18,0.182
30,WT,0.0512,73,0.318
30,FG,0.0472,10,0.085
30,IM,0.0475,71,0.354
30,LP,0,1,0
30,ML,0.0571,18,0.177
30,WT,0.0512,73,0.318
30,FG,0.0472,10,0.085
30,IM,0.0479,73,0.358
30,LP,0,1,0
30,ML,0.0479,20,0.192
30,WT,0.0512,73,0.318
30,FG,0.0472,10,0.085
30,IM,0.0483,77,0.365
30,LP,0.0523,30,0.229
30,ML,0.0507,17,0.179
30,WT,0.0512,73,0.318
30,FG,0.0472,10,0.085
30,IM,0.0495,72,0.359
30,LP,0.0527,27,0.216
30,ML,0.0514,21,0.22
30,WT,0.0512,73,0.318
30,FG,0.0472,10,0.085
30,IM,0.0474,73,0.355
30,LP,0,1,0
30,ML,0.0502,20,0.193
30,WT,0.0512,73,0.318
30,FG,0.0472,10,0.085
30,IM,0.048,73,0.362
30,LP,0.0504,25,0.192
30,ML,0.0484,18,0.179
30,WT,0.0512,73,0.318
30,FG,0.132,13,0.214
30,IM,0.135,85,0.522
30,LP,0,1,0
30,ML,0.1477,19,0.332
30,WT,0.1017,89,0.439
30,FG,0.132,13,0.214
30,IM,0.1442,82,0.536
30,LP,0.1453,26,0.354
30,ML,0.1466,17,0.315
30,WT,0.1017,89,0.439
30,FG,0.132,13,0.214
30,IM,0.1403,81,0.528
30,LP,0,1,0
30,ML,0.1438,18,0.325
30,WT,0.1017,89,0.439
30,FG,0.132,13,0.214
30,IM,0.1355,82,0.532
30,LP,0,1,0
30,ML,0.1391,17,0.311
30,WT,0.1017,89,0.439
30,FG,0.132,13,0.214
30,IM,0.1448,81,0.537
30,LP,0,1,0
30,ML,0.1501,19,0.336
30,WT,0.1017,89,0.439
30,FG,0.132,13,0.214
30,IM,0.1402,81,0.529
30,LP,0,1,0
30,ML,0.1413,18,0.318
30,WT,0.1017,89,0.439
30,FG,0.132,13,0.214
30,IM,0.1386,84,0.531
30,LP,0,1,0
30,ML,0.144,19,0.329
30,WT,0.1017,89,0.439
30,FG,0.132,13,0.214
30,IM,0.1446,80,0.532
30,LP,0,1,0
30,ML,0.1453,18,0.336
30,WT,0.1017,89,0.439
30,FG,0.132,13,0.214
30,IM,0.1399,82,0.526
30,LP,0,1,0
30,ML,0.1463,20,0.337
30,WT,0.1017,89,0.439
30,FG,0.132,13,0.214
30,IM,0.1418,80,0.53
30,LP,0,1,0
30,ML,0.138,17,0.302
30,WT,0.1017,89,0.439
30,FG,0.3982,12,0.231
30,IM,0.3906,84,0.594
30,LP,5e-4,2,0.001
30,ML,0.4183,18,0.375
30,WT,0.3283,108,0.472
30,FG,0.3982,12,0.231
30,IM,0.3892,89,0.597
30,LP,5e-4,2,0.001
30,ML,0.4145,20,0.396
30,WT,0.3283,108,0.472
30,FG,0.3982,12,0.231
30,IM,0.3912,84,0.579
30,LP,0.0011,3,0.003
30,ML,0.4211,17,0.37
30,WT,0.3283,108,0.472
30,FG,0.3982,12,0.231
30,IM,0.3903,86,0.593
30,LP,5e-4,2,0.001
30,ML,0.4127,19,0.383
30,WT,0.3283,108,0.472
30,FG,0.3982,12,0.231
30,IM,0.3974,77,0.598
30,LP,5e-4,2,0.001
30,ML,0.4189,18,0.379
30,WT,0.3283,108,0.472
30,FG,0.3982,12,0.231
30,IM,0.3906,85,0.597
30,LP,5e-4,2,0.001
30,ML,0.4175,18,0.374
30,WT,0.3283,108,0.472
30,FG,0.3982,12,0.231
30,IM,0.3903,84,0.594
30,LP,5e-4,2,0.001
30,ML,0.4128,18,0.379
30,WT,0.3283,108,0.472
30,FG,0.3982,12,0.231
30,IM,0.3923,82,0.589
30,LP,0.0011,3,0.003
30,ML,0.4184,17,0.377
30,WT,0.3283,108,0.472
30,FG,0.3982,12,0.231
30,IM,0.3919,83,0.591
30,LP,5e-4,2,0.001
30,ML,0.4111,18,0.355
30,WT,0.3283,108,0.472
30,FG,0.3982,12,0.231
30,IM,0.3898,86,0.582
30,LP,5e-4,2,0.001
30,ML,0.4175,18,0.381
30,WT,0.3283,108,0.472
30,FG,0.0434,12,0.085
30,IM,0.0426,90,0.347
30,LP,0,1,0
30,ML,0.0476,14,0.119
30,WT,0.0285,112,0.322
30,FG,0.0434,12,0.085
30,IM,0.0451,88,0.352
30,LP,0,1,0
30,ML,0.0446,15,0.135
30,WT,0.0285,112,0.322
30,FG,0.0434,12,0.085
30,IM,0.0473,85,0.343
30,LP,0,1,0
30,ML,0.0472,15,0.122
30,WT,0.0285,112,0.322
30,FG,0.0434,12,0.085
30,IM,0.0448,86,0.349
30,LP,0,1,0
30,ML,0.0542,14,0.121
30,WT,0.0285,112,0.322
30,FG,0.0434,12,0.085
30,IM,0.0465,85,0.352
30,LP,0,1,0
30,ML,0.0499,14,0.125
30,WT,0.0285,112,0.322
30,FG,0.0434,12,0.085
30,IM,0.048,88,0.35
30,LP,0,1,0
30,ML,0.0442,16,0.14
30,WT,0.0285,112,0.322
30,FG,0.0434,12,0.085
30,IM,0.0429,86,0.346
30,LP,0,1,0
30,ML,0.0553,14,0.135
30,WT,0.0285,112,0.322
30,FG,0.0434,12,0.085
30,IM,0.0447,85,0.341
30,LP,0,1,0
30,ML,0.0501,16,0.137
30,WT,0.0285,112,0.322
30,FG,0.0434,12,0.085
30,IM,0.0442,88,0.346
30,LP,0,1,0
30,ML,0.05,17,0.143
30,WT,0.0285,112,0.322
30,FG,0.0434,12,0.085
30,IM,0.0487,88,0.344
30,LP,0,1,0
30,ML,0.0481,14,0.131
30,WT,0.0285,112,0.322
30,FG,0.0194,12,0.06
30,IM,0.0118,91,0.296
30,LP,0,1,0
30,ML,0.0118,15,0.081
30,WT,0.0087,139,0.319
30,FG,0.0194,12,0.06
30,IM,0.0139,95,0.308
30,LP,0,1,0
30,ML,0.0089,15,0.083
30,WT,0.0087,139,0.319
30,FG,0.0194,12,0.06
30,IM,0.012,94,0.301
30,LP,0,1,0
30,ML,0.011,14,0.076
30,WT,0.0087,139,0.319
30,FG,0.0194,12,0.06
30,IM,0.0142,91,0.298
30,LP,-0,2,0.002
30,ML,0.013,17,0.093
30,WT,0.0087,139,0.319
30,FG,0.0194,12,0.06
30,IM,0.0132,88,0.292
30,LP,0,1,0
30,ML,0.0141,15,0.074
30,WT,0.0087,139,0.319
30,FG,0.0194,12,0.06
