mui,method,mod,nc,nmi
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8454,39,0.988
10,ML,0.8493,35,0.979
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8417,40,0.98
10,ML,0.8476,31,0.943
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8347,43,0.967
10,ML,0.8487,35,0.977
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8469,38,0.985
10,ML,0.849,34,0.97
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8418,41,0.975
10,ML,0.8479,34,0.969
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8397,42,0.972
10,ML,0.8468,33,0.954
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8401,41,0.98
10,ML,0.8492,34,0.971
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8378,43,0.972
10,ML,0.8487,34,0.97
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8353,44,0.972
10,ML,0.8463,33,0.955
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8449,37,0.977
10,ML,0.8482,34,0.965
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8435,41,0.978
10,ML,0.8493,35,0.979
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8475,39,0.991
10,ML,0.8471,34,0.966
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8391,41,0.976
10,ML,0.8489,34,0.971
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8424,40,0.976
10,ML,0.8479,34,0.965
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8372,43,0.973
10,ML,0.8493,35,0.979
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.849,37,0.994
10,ML,0.849,34,0.969
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8393,40,0.975
10,ML,0.8493,35,0.976
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8477,38,0.993
10,ML,0.8491,34,0.971
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8421,39,0.979
10,ML,0.8489,34,0.97
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8407,43,0.972
10,ML,0.8489,34,0.971
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8411,41,0.978
10,ML,0.8489,34,0.968
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8408,41,0.974
10,ML,0.8493,35,0.979
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8446,40,0.986
10,ML,0.8493,35,0.979
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8385,43,0.97
10,ML,0.8483,34,0.969
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8415,40,0.978
10,ML,0.8487,33,0.961
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8377,41,0.979
10,ML,0.8479,33,0.959
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8347,45,0.964
10,ML,0.8478,34,0.967
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8354,45,0.96
10,ML,0.8489,34,0.971
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8422,40,0.979
10,ML,0.8489,34,0.968
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8459,39,0.99
10,ML,0.8486,34,0.967
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.844,39,0.985
10,ML,0.8487,35,0.977
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8398,41,0.977
10,ML,0.8473,32,0.949
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8417,40,0.98
10,ML,0.8487,33,0.961
10,WT,0.848,40,0.99
10,FG,0.8426,34,0.96
10,IM,0.8491,37,0.996
10,LP,0.8446,39,0.986
10,ML,0.8484,34,0.968
10,WT,0.848,40,0.99
