mui,method,mod,nc,n_m_i
10,ML,0.847,34,0.974
10,ML,0.846,34,0.974
10,ML,0.847,33,0.969
15,ML,0.787,33,0.951
15,ML,0.79,31,0.955
15,ML,0.787,31,0.942
20,ML,0.717,28,0.907
20,ML,0.719,28,0.904
20,ML,0.72,30,0.914
25,ML,0.659,25,0.827
25,ML,0.658,26,0.842
25,ML,0.662,24,0.837
30,ML,0.575,22,0.705
30,ML,0.582,24,0.729
30,ML,0.581,24,0.734
35,ML,0.521,21,0.645
35,ML,0.526,22,0.653
35,ML,0.52,22,0.644
40,ML,0.472,19,0.52
40,ML,0.471,18,0.507
40,ML,0.475,19,0.511
45,ML,0.424,17,0.407
45,ML,0.431,18,0.428
45,ML,0.435,18,0.452
50,ML,0.401,17,0.386
50,ML,0.394,18,0.367
50,ML,0.391,16,0.351
55,ML,0.377,14,0.263
55,ML,0.371,16,0.247
55,ML,0.38,16,0.262
60,ML,0.354,16,0.22
60,ML,0.356,15,0.208
60,ML,0.343,17,0.217
65,ML,0.345,15,0.165
65,ML,0.342,15,0.166
65,ML,0.339,16,0.163
70,ML,0.328,18,0.159
70,ML,0.331,16,0.15
70,ML,0.33,14,0.116
